Frequency,Cgate Voltage,Cgate Current,Fgate Voltage,Fgate Current,Source Voltage,Source Current,Drain Voltage,Drain Current,Substrate Voltage,Substrate Current,G Cgate>Cgate,C Cgate>Cgate,G Fgate>Cgate,C Fgate>Cgate,G Source>Cgate,C Source>Cgate,G Drain>Cgate,C Drain>Cgate,G Substrate>Cgate,C Substrate>Cgate,G Cgate>Fgate,C Cgate>Fgate,G Fgate>Fgate,C Fgate>Fgate,G Source>Fgate,C Source>Fgate,G Drain>Fgate,C Drain>Fgate,G Substrate>Fgate,C Substrate>Fgate,G Cgate>Source,C Cgate>Source,G Fgate>Source,C Fgate>Source,G Source>Source,C Source>Source,G Drain>Source,C Drain>Source,G Substrate>Source,C Substrate>Source,G Cgate>Drain,C Cgate>Drain,G Fgate>Drain,C Fgate>Drain,G Source>Drain,C Source>Drain,G Drain>Drain,C Drain>Drain,G Substrate>Drain,C Substrate>Drain,G Cgate>Substrate,C Cgate>Substrate,G Fgate>Substrate,C Fgate>Substrate,G Source>Substrate,C Source>Substrate,G Drain>Substrate,C Drain>Substrate,G Substrate>Substrate,C Substrate>Substrate,GCR
1.00E+06,-1.80E+01,0.00E+00,0.00E+00,8.77E-35,0.00E+00,-4.04E-21,1.00E+00,-1.11E-21,0.00E+00,5.05E-20,-1.38E-18,-2.58E-17,-1.84E-17,2.47E-17,-1.40E-17,4.10E-19,-1.73E-17,4.14E-19,5.10E-17,2.84E-19,-1.84E-17,2.47E-17,-2.88E-16,-3.80E-17,-2.41E-16,3.44E-18,-2.88E-16,3.41E-18,8.36E-16,6.49E-18,-1.40E-17,4.10E-19,-2.41E-16,3.44E-18,-1.11E-14,-1.39E-17,1.04E-14,3.33E-19,9.79E-16,9.73E-18,-1.73E-17,4.14E-19,-2.88E-16,3.41E-18,1.04E-14,3.34E-19,-1.12E-14,-1.41E-17,1.54E-15,9.91E-18,5.10E-17,2.84E-19,8.35E-16,6.49E-18,9.80E-16,9.73E-18,1.06E-15,9.90E-18,4.16E-15,-2.64E-17,6.49E-01
1.00E+06,-1.70E+01,0.00E+00,0.00E+00,1.18E-35,0.00E+00,6.94E-21,1.00E+00,3.37E-22,0.00E+00,-1.38E-21,-4.31E-19,-2.58E-17,-7.98E-18,2.47E-17,-9.03E-18,4.12E-19,-9.85E-18,4.15E-19,2.73E-17,2.79E-19,-7.98E-18,2.47E-17,-1.74E-16,-3.80E-17,-1.84E-16,3.46E-18,-2.05E-16,3.44E-18,5.71E-16,6.40E-18,-9.03E-18,4.12E-19,-1.84E-16,3.46E-18,-1.93E-14,-1.39E-17,1.86E-14,3.41E-19,8.58E-16,9.68E-18,-9.84E-18,4.15E-19,-2.05E-16,3.44E-18,1.86E-14,3.41E-19,-1.93E-14,-1.40E-17,6.21E-16,9.83E-18,2.73E-17,2.79E-19,5.71E-16,6.40E-18,8.56E-16,9.68E-18,8.76E-16,9.83E-18,-9.12E-17,-2.62E-17,6.50E-01
1.00E+06,-1.60E+01,0.00E+00,0.00E+00,7.79E-38,0.00E+00,5.38E-21,1.00E+00,-9.30E-22,0.00E+00,-1.26E-21,-2.77E-19,-2.58E-17,-6.25E-18,2.47E-17,-8.12E-18,4.12E-19,-8.55E-18,4.16E-19,2.33E-17,2.76E-19,-6.25E-18,2.47E-17,-1.55E-16,-3.79E-17,-1.76E-16,3.48E-18,-1.90E-16,3.46E-18,6.30E-16,6.34E-18,-8.12E-18,4.12E-19,-1.71E-16,3.48E-18,-3.44E-14,-1.39E-17,3.38E-14,3.47E-19,8.44E-16,9.64E-18,-8.55E-18,4.16E-19,-1.89E-16,3.46E-18,3.38E-14,3.47E-19,-3.44E-14,-1.40E-17,8.13E-16,9.78E-18,2.32E-17,2.76E-19,5.22E-16,6.34E-18,8.32E-16,9.64E-18,8.39E-16,9.78E-18,-2.08E-15,-2.60E-17,6.50E-01
1.00E+06,-1.50E+01,0.00E+00,0.00E+00,2.53E-33,0.00E+00,1.90E-21,1.00E+00,-6.49E-23,0.00E+00,-1.23E-21,-2.49E-19,-2.58E-17,-5.91E-18,2.47E-17,-7.88E-18,4.13E-19,-8.25E-18,4.17E-19,2.23E-17,2.74E-19,-5.91E-18,2.47E-17,-1.51E-16,-3.79E-17,-1.66E-16,3.49E-18,-1.84E-16,3.47E-18,5.08E-16,6.29E-18,-7.88E-18,4.13E-19,-1.66E-16,3.49E-18,-6.30E-14,-1.39E-17,6.23E-14,3.53E-19,8.24E-16,9.60E-18,-8.25E-18,4.17E-19,-1.84E-16,3.47E-18,6.23E-14,3.53E-19,-6.29E-14,-1.40E-17,7.37E-16,9.74E-18,2.23E-17,2.74E-19,5.07E-16,6.29E-18,8.24E-16,9.60E-18,8.28E-16,9.74E-18,-1.13E-15,-2.59E-17,6.51E-01
1.00E+06,-1.40E+01,0.00E+00,0.00E+00,6.11E-38,0.00E+00,-8.13E-21,1.00E+00,-7.00E-22,0.00E+00,-1.57E-21,-1.19E-04,-7.19E-14,-1.70E-04,2.27E-15,-8.84E-02,-3.66E-12,2.70E-05,6.24E-13,1.46E-04,-2.59E-10,-5.79E-18,2.47E-17,-1.49E-16,-3.79E-17,-1.63E-16,3.50E-18,-1.82E-16,3.48E-18,5.02E-16,6.25E-18,-7.76E-18,4.13E-19,-1.63E-16,3.50E-18,-1.18E-13,-1.38E-17,1.17E-13,3.59E-19,8.17E-16,9.57E-18,-8.12E-18,4.18E-19,-1.82E-16,3.48E-18,1.17E-13,3.59E-19,-1.18E-13,-1.40E-17,1.27E-15,9.70E-18,2.19E-17,2.72E-19,5.00E-16,6.25E-18,8.20E-16,9.57E-18,8.22E-16,9.70E-18,-1.90E-15,-2.58E-17,6.51E-01
1.00E+06,-1.30E+01,0.00E+00,0.00E+00,2.20E-38,0.00E+00,8.04E-21,1.00E+00,-1.73E-22,0.00E+00,-1.26E-21,-2.38E-19,-2.58E-17,-5.72E-18,2.47E-17,-7.66E-18,4.14E-19,-8.03E-18,4.18E-19,2.16E-17,2.70E-19,-5.72E-18,2.47E-17,-1.48E-16,-3.79E-17,-1.71E-16,3.51E-18,-1.84E-16,3.50E-18,4.58E-16,6.21E-18,-7.66E-18,4.14E-19,-1.60E-16,3.51E-18,-2.26E-13,-1.38E-17,2.25E-13,3.65E-19,1.16E-15,9.54E-18,-8.03E-18,4.18E-19,-1.79E-16,3.50E-18,2.25E-13,3.65E-19,-2.26E-13,-1.39E-17,8.18E-16,9.67E-18,2.16E-17,2.70E-19,4.93E-16,6.21E-18,8.16E-16,9.54E-18,8.16E-16,9.67E-18,-2.06E-15,-2.57E-17,6.51E-01
1.00E+06,-1.20E+01,0.00E+00,0.00E+00,1.80E-38,0.00E+00,5.48E-21,1.00E+00,-8.06E-22,0.00E+00,-1.32E-21,-4.96E-07,-2.58E-12,-8.40E-06,-2.84E-12,-1.15E-04,-1.64E-12,-7.28E-07,-3.35E-13,1.94E-04,-2.62E-08,-5.65E-18,2.47E-17,-1.46E-16,-3.79E-17,-1.84E-16,3.52E-18,-1.87E-16,3.51E-18,2.84E-16,6.18E-18,-7.57E-18,4.14E-19,-1.58E-16,3.52E-18,-4.42E-13,-1.38E-17,4.42E-13,3.70E-19,8.13E-16,9.51E-18,-7.07E-18,4.19E-19,-1.61E-16,3.51E-18,4.42E-13,3.70E-19,-4.42E-13,-1.39E-17,-4.18E-16,8.79E-18,2.14E-17,2.69E-19,4.87E-16,6.18E-18,8.13E-16,9.51E-18,8.12E-16,9.63E-18,-4.95E-15,-2.56E-17,6.52E-01
1.00E+06,-1.10E+01,0.00E+00,0.00E+00,1.46E-38,0.00E+00,1.13E-20,1.00E+00,-1.19E-21,0.00E+00,-1.57E-21,-2.32E-19,-2.58E-17,-5.59E-18,2.47E-17,-7.50E-18,4.15E-19,-7.86E-18,4.19E-19,2.12E-17,2.68E-19,-5.59E-18,2.47E-17,-1.45E-16,-3.79E-17,-1.42E-16,3.53E-18,-1.75E-16,3.52E-18,4.61E-16,6.14E-18,-7.50E-18,4.15E-19,-1.56E-16,3.53E-18,-8.86E-13,-1.38E-17,8.85E-13,3.75E-19,7.48E-16,9.48E-18,-7.86E-18,4.19E-19,-1.75E-16,3.52E-18,8.85E-13,3.75E-19,-8.86E-13,-1.39E-17,8.12E-16,9.60E-18,2.12E-17,2.68E-19,4.82E-16,6.14E-18,8.10E-16,9.48E-18,8.08E-16,9.60E-18,-2.14E-15,-2.55E-17,6.52E-01
1.00E+06,-1.00E+01,0.00E+00,0.00E+00,8.18E-39,0.00E+00,-1.11E-20,1.00E+00,-2.09E-22,0.00E+00,-1.26E-21,-2.30E-19,-2.58E-17,-5.52E-18,2.47E-17,-7.43E-18,4.15E-19,-7.79E-18,4.19E-19,2.10E-17,2.66E-19,-5.52E-18,2.47E-17,-1.43E-16,-3.78E-17,-1.55E-16,3.54E-18,-1.74E-16,3.53E-18,4.79E-16,6.11E-18,-7.43E-18,4.15E-19,-1.55E-16,3.54E-18,-1.82E-12,-1.38E-17,1.82E-12,3.80E-19,8.06E-16,9.45E-18,-7.79E-18,4.19E-19,-1.74E-16,3.53E-18,1.82E-12,3.80E-19,-1.82E-12,-1.39E-17,8.03E-16,9.57E-18,2.10E-17,2.66E-19,4.77E-16,6.11E-18,8.06E-16,9.45E-18,8.03E-16,9.57E-18,-1.85E-15,-2.54E-17,6.52E-01
1.00E+06,-9.00E+00,0.00E+00,0.00E+00,6.09E-39,0.00E+00,9.39E-21,1.00E+00,6.16E-22,0.00E+00,-1.26E-21,-2.27E-19,-2.58E-17,-5.46E-18,2.47E-17,-7.38E-18,4.15E-19,-7.72E-18,4.20E-19,2.08E-17,2.65E-19,-5.46E-18,2.47E-17,-1.40E-16,-3.78E-17,-1.54E-16,3.55E-18,-1.72E-16,3.54E-18,4.72E-16,6.07E-18,-7.37E-18,4.15E-19,-1.54E-16,3.55E-18,-3.81E-12,-1.38E-17,3.81E-12,3.85E-19,8.01E-16,9.43E-18,-7.72E-18,4.20E-19,-1.72E-16,3.54E-18,3.81E-12,3.85E-19,-3.81E-12,-1.39E-17,8.03E-16,9.54E-18,2.08E-17,2.65E-19,4.72E-16,6.07E-18,8.01E-16,9.43E-18,7.99E-16,9.54E-18,-1.19E-15,-2.53E-17,6.52E-01
